dataset,problem,n,m,nnz_a,clarabel_1e-4,clarabel_1e-6,clarabel_1e-8,cvxopt_1e-4,cvxopt_1e-6,scs_cpu_1e-4,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-6,sdpa_1e-4,sdpa_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,clarabel_1e-8_status,cvxopt_1e-4_status,cvxopt_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,sdpa_1e-4_status,sdpa_1e-6_status
sdplib,hinf14,73.0,595.0,2394.0,0.02,0.04,0.04,0.08,0.09,0.34,12.0,3.21,,0.16,0.19,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
sdplib,hinf15,91.0,703.0,3394.0,0.04,0.05,0.04,0.11,0.11,1.05,122.25,8.42,,0.2,0.26,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,max_iter_reached,max_iter_reached,optimal_inaccurate,optimal,optimal_inaccurate,,solver_error,solver_error
sdplib,hinf2,13.0,136.0,118.0,0.0,0.0,0.0,0.02,0.02,0.53,1.46,5.4,,0.03,0.05,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal,optimal
sdplib,hinf3,13.0,136.0,118.0,0.0,0.0,0.0,0.02,0.02,0.07,0.35,1.1,,0.03,0.04,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
sdplib,hinf4,13.0,136.0,118.0,0.0,0.0,0.0,0.02,0.02,0.04,0.46,0.89,,0.03,0.05,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,hinf5,13.0,136.0,118.0,0.0,0.0,0.0,0.02,0.02,0.03,27.84,0.77,,0.03,0.06,optimal_inaccurate,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,solver_error,solver_error
sdplib,hinf6,13.0,136.0,118.0,0.0,0.0,0.01,0.02,0.02,0.45,9.94,4.62,,0.03,0.06,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
sdplib,hinf7,13.0,136.0,118.0,0.0,0.0,0.0,0.01,0.01,0.3,12.48,3.3,,0.04,0.04,solver_error,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
sdplib,hinf8,13.0,136.0,118.0,0.0,0.0,0.0,0.01,0.02,0.31,10.46,3.33,,0.03,0.05,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
sdplib,hinf9,13.0,136.0,118.0,0.0,0.0,0.0,0.02,0.01,0.24,25.11,8.2,,0.03,0.1,solver_error,solver_error,solver_error,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,solver_error
